A21,B21,C21,mean_HdhQ150-NB-64,std_HdhQ150-NB-64
41.241161024765134,40.77632780392314,42.380436240993056,41.46597502322711,0.8253465756263061
39.69800232461822,41.21492661912348,40.0025761673545,40.3051683703654,0.8024564535271138
40.211744937073426,40.54038328734714,41.55492907308505,40.76901909916854,0.7001725906115894
41.3803555812641,41.18763761207529,41.275261167142126,41.28108478682717,0.09649087947439076
41.01214647977381,40.814357487091804,40.116079929212766,40.647527965359465,0.47075246441168456
39.82890149919272,40.818906474604525,41.235728349226406,40.627845441007885,0.7226124033070498
41.52622073559348,40.896286252493255,40.9757835866027,41.13276352489648,0.3430544986146178
40.793545944261396,41.00687988381484,39.71241457347102,40.504280133849086,0.6940217156011738
40.09673513434257,40.14227146416204,40.330149780668975,40.189718793057864,0.1237296894218642
40.34497712964802,41.072449842069005,39.91587675292102,40.444434574879345,0.5846658577292537
40.39562304050039,40.89127223439929,40.44588586339763,40.57759371276577,0.2728135792845413
41.26096399694724,40.4548882987385,39.92332811723507,40.546393470973605,0.6734963504597983
39.99850557450067,39.802327837304524,41.110475157053926,40.30376952295304,0.7054799155259028
41.351662258167345,39.86601713179655,39.508964416212635,40.242214602058844,0.9772549496727794
39.13313729271783,41.85327185054098,40.93880221358845,40.64173711894909,1.3841852318262031
41.28226582077873,40.255043275173286,40.66484305137033,40.73405071577412,0.517096524025451
40.615626422465326,41.04514839830837,40.175265631359174,40.61201348404429,0.43495263771107656
39.9338604341274,39.706139645706386,40.09375916845078,39.911253082761526,0.19479615718741292
41.40681655512961,40.440085748529306,40.8262764291003,40.8910595775864,0.4866104760004124
39.62511840754675,39.50582371221803,39.52946795814661,39.55347002597046,0.06316550109243663
39.44678432843362,39.97342083542527,39.883502743148036,39.767902635668975,0.2817073681339717
39.423912541504684,40.00291996903324,41.11057537807339,40.17913596287044,0.8570279682883885
40.95446824195145,39.52376527610359,41.11840970992784,40.53221440932763,0.8771809630605296
41.17118012390889,41.061957057035364,40.720480310391665,40.98453916377864,0.23511216073046423
40.842054521529484,39.52917466527801,40.54503180889133,40.305420331899604,0.6884574236416774
41.73595376065117,40.43214224579134,40.49232047448567,40.886805493642726,0.7359992794322411
41.275865402924154,41.04500722327107,40.25415249640036,40.85834170753186,0.5358239700815599
41.386250591590986,40.85768912116294,41.61302601102034,41.28565524125809,0.38758614871575325
40.79538543860128,40.545280572901596,41.855093974594524,41.065253328699136,0.6953591125404199
40.26094933882366,39.426126116552794,40.09768514350285,39.928253532959765,0.4424508516198088
41.45714414313022,39.7761224598226,40.358389017526235,40.53055187349302,0.8536325390169799
40.05640424482676,42.16247994682826,40.764388962585556,40.99442438474686,1.071716351105543
40.2402294454498,40.02370658401071,40.56133867985108,40.27509156977053,0.27050617997292314
40.578261841621604,40.707829793608354,39.46140770676888,40.24916644733295,0.6852881427157645
39.73824642804696,40.21246609039433,41.41555415212747,40.45542222352292,0.86464504988095
40.10332820262524,40.33251482438154,40.674981278764115,40.3702747685903,0.28769110153903843
41.50289775144251,40.469078630447825,40.47694299483597,40.81630645890877,0.5946185031548988
40.806673256819536,39.93230116642298,40.53194475774974,40.42363972699742,0.4471343454497837
40.42347677718956,40.2025193575322,41.32210621312559,40.64936744928245,0.5929912550858627
40.044004795585494,41.365942857521354,40.61716605778456,40.675704570297135,0.6629103468675636
40.50371907663462,40.41874983549368,40.01290090429549,40.31178993880793,0.26230885268867565
40.43489810074601,39.41878091330946,41.341868980971306,40.398515998342255,0.9620601187178113
40.77116097591733,40.93483840045021,41.331261929118206,41.012420435161914,0.287997393263616
39.8348616201403,40.82977033985924,40.910570778939295,40.525067579646276,0.5990996391603458
40.91934907490744,40.2583242644141,41.66285433428727,40.946842557869594,0.7026685548667484
40.81040497124946,40.718281351575044,41.62235917082045,41.05034849788166,0.49751266093678775
41.64947166649094,40.66466111319203,40.412431970665416,40.90885491678279,0.6536740491606797
40.745066230665046,41.04674530922609,40.40211476742163,40.73130876910426,0.3225354006434417
40.191366718664355,40.199847880937654,40.03993458725276,40.143716395618256,0.08997766577927017
41.46512680716075,39.89789787240214,40.91921685991106,40.760747179824655,0.7955413962303715
40.35420487909456,40.416263106216924,40.58309924010562,40.451189075139034,0.11837662186650819
42.72525939696041,40.344773316980096,41.32425957915659,41.46476409769903,1.196446669953636
41.03605238927421,41.25676269419708,40.743242159732816,41.01201908106803,0.25760247428278965
41.296218334541024,39.795420326481654,40.35912657983414,40.48358841361894,0.7581007362485208
42.109462801891354,39.57305366677295,39.9081014152263,40.530205961296865,1.3778981728920592
40.32508198666186,40.305547117839716,40.67042929064104,40.433686131714204,0.2052581185945322
40.63767714465794,41.54772645238482,41.1642800986704,41.11656123190439,0.456897420990333
41.07404887061655,41.06187479839827,40.17945575280073,40.77179314060518,0.5130153387101097
39.93538881642032,40.89404616868977,40.84019527604839,40.556543420386156,0.5386090986796799
42.02432580860956,40.33400354825922,40.73494571520375,41.03109169069084,0.8832180733300661
40.10154006273094,41.157586997928505,40.569307037751365,40.6094780328036,0.5291682756625318
41.62167121829216,40.114044856854925,41.942353170121535,41.2260230817562,0.9762586276434272
40.72996833069726,39.90608110322255,40.906735331973415,40.51426158863108,0.5340639196845774
40.84286446204988,40.57910653053212,41.19737384019981,40.87311494426061,0.31024173688660217
41.25706256708968,39.75946496278425,41.00954284038011,40.675356790084685,0.8027825877934737
40.45462347999668,40.397260642278596,42.00832149398862,40.95340187208796,0.9140372969912289
41.67155301057374,41.38735826446596,41.23547800755384,41.431463094197845,0.22135780778856826
41.35565131840939,41.19434539207254,41.163886014276784,41.23796090825291,0.1030544414667691
40.81393567929963,40.67945610788233,41.167964132473514,40.88711863988516,0.2523426872579077
42.3627073909156,40.86674644822613,40.779623780468015,41.336359206536585,0.8899104092507883
41.31445174822646,41.510789835815984,40.70384653423714,41.176362706093194,0.42082159005771685
41.08617981722823,40.05645508646464,40.300714303659355,40.48111640245074,0.5380445550535657
40.6475996911907,40.82728289321229,40.62321034234413,40.699364308915705,0.11144991359629573
41.689613951525764,40.404802435945975,40.9548837512913,41.01643337958768,0.6446133920414439
40.70307829098165,40.68614868790726,41.57652973375561,40.988585570881504,0.5092449379801066
41.66249406735094,41.399941089850095,41.22056663005997,41.427667262420336,0.2222645280778905
41.09585366897138,41.34032513739161,40.821198071756214,41.0857922927064,0.2597097438258007
41.124990130484804,40.23185517346821,41.433461794770274,40.930102366241094,0.6240597315787748
41.065383294845184,40.93400871796484,40.63056049106656,40.87665083462553,0.22301381741351917
41.598183841722246,40.96317596354565,41.368693641276735,41.310017815514875,0.32154453926822024
41.04512505724575,40.423353163644364,41.30123916455132,40.92323912848048,0.4514566339864007
41.61832788585188,40.00242024994953,42.061174637856645,41.22730759121936,1.083646649301599
41.24767058317483,40.32016619378703,41.29950785003684,40.95578154233289,0.5510688968171273
42.08735308143861,40.63101776940051,40.42873777083405,41.04903620722438,0.904878858142626
40.10769354926617,39.87226641252156,40.49857054921498,40.15951017033424,0.31635097530117756
40.58427732080856,40.480455921699644,41.50961129068204,40.858114844396745,0.5665954777175733
40.40857927745692,41.24520407407525,41.24721847131669,40.967000607616285,0.4836081067680494
40.94434242833686,41.10608348334214,40.487599486820066,40.84600846616635,0.32075347165010026
40.835373506818115,41.33441390896163,40.49289185499602,40.887559756925256,0.42318127953964263
40.0514550973098,41.33350345982109,41.60607311776886,40.99701055829991,0.8301384836065697
40.92368986686333,40.125915535687916,40.3892572279525,40.47962087683458,0.40649128237891746
41.19091973010615,41.181518288262694,40.02062572916316,40.797687915844,0.6729720114938623
39.45585006234522,40.14792721967576,41.07460103354077,40.226126105187255,0.8122037773601315
42.347700563663544,40.68524494775704,41.152348376952716,41.395097962791105,0.8574002506316973
41.41585362640541,41.20243005720095,42.12504318784267,41.581108957149674,0.4829966257259751
41.284006123433755,40.20529656504807,41.50886728165323,40.99938999004502,0.6968349236630489
41.20081876276055,40.41157002476612,41.86947703507079,41.160621940865816,0.7297842496530738
40.60747704990228,40.592660853977016,40.716643774470604,40.638927226116635,0.06771097644743669
40.59610521646336,41.641478700951424,41.193639446488206,41.143741121301,0.5244700302782298
42.53311722006421,40.46936588333755,41.65591679100438,41.552799964802055,1.035732689860082
40.560323294091454,41.09394648206353,41.039106084647266,40.89779195360075,0.2935399281366067
41.73555571606953,40.975606027935925,41.55844381177418,41.42320185192654,0.3976162382262103
40.87723265284616,39.92995369184933,40.891799397470976,40.56632858072215,0.5511649452778801
40.870401909001174,41.13171510951777,41.74307189955403,41.248396306024325,0.44788291362423294
41.84620490866328,40.599992533539684,41.11385112169846,41.18668285463381,0.6262904014669027
41.139427932618126,41.3135017345057,41.584160119779895,41.34569659563457,0.2241072542037702
42.03331362663139,41.15942523491961,41.40372298478315,41.532153948778046,0.45087815945845594
41.13565432068578,40.10644257761353,42.057566306568376,41.09988773495589,0.976053475949831
41.314519478922726,41.16610135504088,42.21289796998061,41.56450626798141,0.566406068373407
40.59431135228254,41.4557070476737,41.88467251035352,41.31156363676991,0.6571460809780437
41.32707742235047,40.082350896451466,40.6266844786738,40.678704265825246,0.6239916463868826
40.116708225981895,40.27771573520114,41.080945085965496,40.491789682382844,0.5165354989584203
41.14358672046006,40.542899115407536,40.949270879201535,40.878585571689705,0.30651869313218777
42.27597249281301,41.3055687471523,42.0044520188406,41.8619977529353,0.5006403607421674
42.32735921477763,40.64342202812709,41.86644238174136,41.612407874882024,0.8702363243122989
41.28603929984868,40.912667178307785,40.90554532580135,41.034750601319274,0.21765152814127975
41.219994540171676,40.09132581506448,41.41902568237097,40.91011534586904,0.7160415984477831
41.447580701306805,40.57737894632486,40.87008934343498,40.96501633035555,0.4427991906358644
41.08843589885742,41.66098217964398,41.5229503770733,41.4241228185249,0.29879336615311436
40.96640611910374,40.972092155643665,41.05531940747566,40.99793922740769,0.049773954548115965
40.38714055522312,40.253834723855306,41.14342943998022,40.594801573019545,0.4797780877379943
41.19472829409675,39.706108903932865,40.372184570102505,40.42434058937737,0.7456789590386222
39.596175353595484,40.23716695347457,41.202044737643085,40.34512901490438,0.8083600526290781
41.2412389504992,42.405497766278124,42.062361971160215,41.90303289597918,0.5982591104013939
41.40590656739839,41.122829970647565,40.78455973380159,41.10443209061585,0.31108171498408127
41.99657842590418,41.294626393455104,41.06904923005837,41.45341801647255,0.4837237713220036
40.96009846267634,40.540025836385226,40.840444258578756,40.780189519213444,0.2164214131082353
41.22998434554474,40.9351250378144,42.277083574919864,41.480730986093,0.7052436367222584
