D22,E22,F22,mean_WT-delta-intron-1mon-49,std_WT-delta-intron-1mon-49
39.5413996201349,39.74771845905653,39.887836017029095,39.72565136540684,0.17426922200970169
40.57610047109943,41.0828497855663,41.298918842336704,40.98595636633414,0.37102270882979704
39.63511956703369,40.30267045417069,40.54585319387125,40.16121440502521,0.4715573084398763
40.04975298870669,41.58277265287788,40.285162668313596,40.639229436632725,0.8255663389485098
40.31582298888754,40.430778286587476,40.464836201283404,40.403812492252804,0.0780807269126544
40.714499988336904,40.68954361373284,40.794664585601986,40.732902729223916,0.05492358633405366
40.291990723423844,40.33052636681001,40.608100388011636,40.41020582608183,0.17246142230608724
40.78541177913784,40.874167703789,40.83669037714671,40.832089953357844,0.04455644133510253
39.928439704088625,39.83235199185067,40.1788508177674,39.979880837902236,0.1788854431652821
40.32508401951546,40.7182735407418,39.96448012808691,40.335945896114715,0.3770140746880919
41.22018797706601,41.66701180018879,41.3020574020442,41.39641905976634,0.23788857489077878
40.83632455947498,41.247027484545505,40.85792866964131,40.98042690455393,0.23113542855413138
41.453786707078585,41.45620676946013,40.4170221236936,41.10900520007744,0.5992761447585868
41.04929710851091,40.18704233306856,41.1021913543778,40.77951026531909,0.5137734309696944
40.766523783806306,41.17562335887624,39.965409169332574,40.63585210400504,0.6155980117493639
41.019141389187304,41.70627270730407,40.601863752572854,41.109092616354744,0.5576721279338986
41.291084103565716,40.81890693276769,41.18738233923052,41.09912445852131,0.24815299773762162
41.39798925004138,41.45564567405936,41.81061633140073,41.55475041850048,0.22345377563567953
41.12554844395294,41.45884769076032,41.679469284894815,41.42128847320269,0.27886393747685506
41.03232903712392,41.00015568351196,40.855577295218595,40.96268733861816,0.09414458146092435
41.542295091464524,40.26851398565685,41.244614573874195,41.01847455033186,0.6663212881665649
40.35648820579389,42.49289459655057,42.04992415422672,41.633102318857055,1.1275475149399248
41.043091356702035,40.841138133725465,40.51898610540899,40.80107186527883,0.2643398532356869
40.91152038646608,41.290155677594534,41.45764486274328,41.21977364226797,0.27978243166752675
